DS_A01: -482.3176,-26.15903,-498.4695,46.21668,1,1
DS_A02: -266.3175,86.84097,-334.4695,191.2169,1,1
DS_A05: 23.68269,-218.159,210.5305,-386.7829,1,1
DS_A06: -435.3174,85.84097,-488.4695,196.2169,1,1
DS_A07: 192.6825,-10.15898,106.5305,98.21703,1,1
DS_A08: 235.6825,189.8412,219.5305,335.2171,2,1
DS_A09: -259.3174,189.841,-328.4695,345.2171,2,1
DS_A10: -162.3175,-132.159,-211.4695,-221.7832,0,1
DS_A11: 691.6826,97.84087,604.5305,96.21703,1,1
DS_A13: -307.3175,-133.159,-340.4695,-219.7832,0,1
DS_A14: 1.682566,-155.159,24.53062,-127.7831,2,1
DS_A15: -549.3174,189.841,-605.4695,351.2171,2,1
DS_A16: 37.68256,-12.159,-29.46924,100.217,1,1
DS_A17: 460.6824,-11.15899,279.5305,94.21693,1,1
DS_A19: -191.3174,296.8409,-184.4695,487.2171,2,1
DS_A20: -199.3177,-5.159046,-332.4695,44.2168,1,1
DS_A21: 971.6814,49.84105,1114.532,-235.7832,2,1
DS_A22: -593.3179,86.84097,-619.4695,197.2169,1,1
DS_A23: -409.3174,187.841,-483.4695,351.2171,2,1
DS_A24: 547.6821,92.84097,477.5305,97.21703,1,1
DS_A25: 448.6826,-157.159,455.5305,-133.7832,2,1
DS_A26: -600.3179,-14.15893,-596.4695,-137.7832,0,1
DS_A27: -606.3179,-137.159,-608.4695,-276.7829,0,1
DS_B01: 225.6825,-154.159,184.5308,-124.7831,2,1
DS_B02: -821.3179,89.84097,-847.4695,197.2169,1,1
DS_B03: -101.3174,22.84098,-170.4695,106.2169,1,1
DS_B04: 8.682528,191.8412,-34.46927,339.2171,2,1
DS_B06: -455.3174,-78.15897,-468.4695,-227.7832,0,1
DS_B07: 463.6826,192.8412,356.5305,330.2171,2,1
DS_B08: 553.6826,-96.15893,627.5305,-126.7832,2,1
DS_B10: 1330.554,-85.1567,1280.93,-263.0906,2,1
DS_C01: 818.6821,-51.15897,934.5305,-414.7829,2,1
DS_C02: -754.3179,-23.15892,-738.4695,-243.7832,0,1
DS_C03: 1114.681,-178.159,1089.532,-384.7829,2,1
DS_C04: 690.6821,69.84091,810.5305,-59.78325,2,1
DS_CG: -19.72919,314.6042,-62.89585,481.0833,1,1
DS_D01: 408.6824,-237.4223,434.0831,-379.283,1,1
DS_D02: -900.3179,-185.159,-874.4695,-384.7829,0,1
DS_D03: -353.3175,-239.159,-230.4695,-377.7829,1,1
DS_S01r: -297.5679,-4.569408,-332.5677,-91.40747,1,0
DS_S02l: 915.4318,-83.56944,1097.433,-92.40747,2,0
DS_S03: -992.4056,-421.4067,-975.1722,-484.3144,0,0
DS_S04: 332.7327,90.84377,293.4365,207.7543,2,0
GATE_DS_CG: 145.2708,347.6042,58.10415,481.0833,1,0
GATE_DS_GW: 1558.261,-67.88649,1522.433,-251.1148,2,0
GATE_DS_SB: -1065.739,-339.8867,-1022.568,-371.1146,0,0
GATE_SU_DS: -1042.738,183.7287,-910.8494,355.7828,1,0
OffScreenDen_DS: -312.3175,198.841,147.5308,488.2171,1,1
Connection: DS_A01,DS_A06,48,32,33,12,1,3
Connection: DS_A02,DS_A06,5,21,49,21,2,0
Connection: DS_A02,DS_B03,48,21,5,62,0,2
Connection: DS_A05,DS_D03,5,8,197,7,2,0
Connection: DS_A05,DS_D01,48,8,3,6,0,2
Connection: DS_A06,DS_A22,4,21,43,21,2,0
Connection: DS_A07,DS_A16,4,25,41,24,2,3
Connection: DS_A07,DS_A17,31,3,16,3,3,3
Connection: DS_A08,DS_B07,41,34,4,31,0,2
Connection: DS_A08,DS_B04,5,16,104,14,2,0
Connection: DS_A08,DS_S04,45,6,15,23,3,2
Connection: DS_A09,DS_A19,34,35,11,4,1,3
Connection: DS_A09,DS_A23,4,30,45,29,2,0
Connection: DS_A10,DS_B03,43,31,26,8,1,3
Connection: DS_A10,DS_A13,2,32,45,32,2,0
Connection: DS_A11,DS_A24,4,13,45,15,2,0
Connection: DS_A13,DS_B06,2,32,45,36,2,0
Connection: DS_A14,DS_B03,11,32,36,5,1,3
Connection: DS_A14,DS_B01,48,32,13,29,0,1
Connection: DS_A15,DS_A23,44,19,2,20,0,2
Connection: DS_A15,DS_A22,10,6,24,28,3,1
Connection: DS_A16,DS_B03,5,32,48,60,1,0
Connection: DS_A17,DS_A24,33,32,4,2,1,3
Connection: DS_A19,DS_CG,50,28,6,22,0,2
Connection: DS_A19,DS_B04,50,15,9,28,0,1
Connection: DS_A20,DS_S01r,7,18,29,18,2,0
Connection: DS_A20,DS_B03,33,3,17,14,3,3
Connection: DS_A21,DS_C01,4,24,49,101,2,0
Connection: DS_A22,DS_B02,4,21,96,21,2,0
Connection: DS_A24,DS_B07,31,32,90,5,1,3
Connection: DS_A25,DS_B01,4,25,96,23,2,0
Connection: DS_A25,DS_B08,43,3,16,5,3,3
Connection: DS_A26,DS_B06,42,31,2,74,0,2
Connection: DS_A26,DS_C02,2,13,48,59,2,0
Connection: DS_A27,DS_C02,2,10,49,14,2,0
Connection: DS_A27,DS_D03,42,3,34,20,3,1
Connection: DS_B01,DS_D01,53,2,64,18,3,1
Connection: DS_B02,GATE_SU_DS,4,23,36,5,2,3
Connection: DS_B07,DS_C04,104,31,2,113,0,2
Connection: DS_B08,DS_C04,45,45,2,11,0,2
Connection: DS_B10,GATE_DS_GW,97,17,2,11,0,2
Connection: DS_B10,DS_C03,45,9,141,25,3,0
Connection: DS_C01,DS_C04,13,57,45,17,3,0
Connection: DS_C01,DS_S02l,40,57,18,18,3,2
Connection: DS_C01,DS_D01,5,24,197,12,2,0
Connection: DS_C01,DS_C03,42,15,4,12,3,2
Connection: DS_C02,DS_D02,4,52,44,122,2,0
Connection: DS_CG,GATE_DS_CG,48,22,2,11,0,2
Connection: DS_D02,GATE_DS_SB,3,16,45,9,2,0
Connection: DS_S03,GATE_DS_SB,19,18,36,5,2,3
